test_item,language,prompt,answer
B1T,English,"Here's the context: John is hungry and there is pizza in the oven. There is also pasta in the fridge. Mary says: ""If John is hungry, there is pizza in the oven"". Based on what Mary says, is it true that there is pizza in the oven?","Yes. Since John is hungry and Mary’s statement is “If John is hungry, there is pizza in the oven,” the condition is satisfied, so the conclusion follows: there is pizza in the oven."
B1F,English,"Here's the context: John is hungry and there is no pizza in the oven. There is no pasta in the fridge either. Mary says: ""If John is hungry, there is pizza in the oven"". Based on what Mary says, is it true that there is pizza in the oven?","No.  

Mary’s conditional (“If John is hungry, then there is pizza in the oven”) would make the existence of pizza follow from John’s hunger **only if** the conditional were true. But we already know that there is **no** pizza in the oven. Since the antecedent (“John is hungry”) is true while the consequent (“there is pizza in the oven”) is false, Mary’s statement is false. Therefore, based on the actual facts, it is not true that there is pizza in the oven."
B1C,English,"Here's the context: John is not hungry. There is pasta in the fridge. Mary says: ""If John is hungry, there is pizza in the oven"". Based on what Mary says, is it true that there is pizza in the oven?","No. Mary’s statement only says **if** John were hungry then pizza would be in the oven. Since we know John is *not* hungry, the antecedent of the conditional is false, so the conditional is vacuously true but it gives us no information about whether pizza is actually in the oven. In other words, we cannot infer that there is pizza in the oven."
B2T,English,"Here's the context: Nicole's head hurts and there is aspirin on the table. There is also ibuprofen in the drawer. Mary says: ""If Nicole's head hurts, there is aspirin on the table"". Based on what Mary says, is it true that there is aspirin on the table? ","**Yes.**  

Mary’s statement is a conditional:

- **P:** “Nicole’s head hurts.”
- **Q:** “There is aspirin on the table.”

She says: **If P, then Q**.

The context tells us that **P is true** (“Nicole’s head hurts”).  
From a true antecedent (P) and the conditional “If P then Q,” we can apply **modus ponens** to conclude that **Q is true** – i.e., there is aspirin on the table."
B2F,English,"Here's the context: Nicole's head hurts and there is no aspirin on the table. There is no ibuprofen in the drawer either. Mary says:  ""If Nicole's head hurts, there is aspirin on the table"". Based on what Mary says, is it true that there is aspirin on the table?","No.  

Mary’s sentence is the material‑implication “If Nicole’s head hurts, then there is aspirin on the table.”  
Since Nicole’s head does hurt, the antecedent of the conditional is true. For the conditional to be true, the consequent – “there is aspirin on the table” – would also have to be true.  

But the given facts state explicitly that **there is no aspirin on the table**. Therefore Mary’s conditional is false, and we cannot conclude that aspirin is on the table. In fact, we know it isn’t."
B2C,English,"Here's the context: Nicole's head does not hurt. There is ibuprofen in the drawer. Mary says: ""If Nicole's head hurts, there is aspirin on the table"". Based on what Mary says, is it true that there is aspirin on the table?","No.  
Mary’s statement is a conditional:  

- **If** Nicole’s head hurts **then** there is aspirin on the table.

We know that Nicole’s head does **not** hurt, so the antecedent of the conditional is false. In classical logic a conditional with a false antecedent is automatically true, but it tells us nothing about the consequent. Therefore we cannot infer that aspirin is on the table; it may be there or it may not be. The truth of “there is aspirin on the table” remains undetermined."
B3T,English,"Here's the context: Lucy is thirsty and there is water in the fridge. There is also apple juice on the shelf. Mary says: ""If Lucy is thirsty, there is water in the fridge"". Based on what Mary says, is it true that there is water in the fridge? ","Yes. Since Lucy is thirsty and Mary’s statement says that whenever Lucy is thirsty there is water in the fridge, the condition is satisfied, so we can conclude that there is water in the fridge."
B3F,English,"Here's the context: Lucy is thirsty and there is no water in the fridge. There is no apple juice on the shelf either. Mary says: ""If Lucy is thirsty, there is water in the fridge"". Based on what Mary says, is it true that there is water in the fridge?","No. Given that Lucy is indeed thirsty but there is **no** water in the fridge, Mary’s conditional (“If Lucy is thirsty, there is water in the fridge”) is false. So it is not true that there is water in the fridge."
B3C,English,"Here's the context: Lucy is not thirsty. There is apple juice on the shelf. Mary says: ""If Lucy is thirsty, there is water in the fridge"". Based on what Mary says, is it true that there is water in the fridge? ","No.  
Mary’s sentence is a conditional: **If Lucy is thirsty, then there is water in the fridge** ( L → W ).  
We know that Lucy is *not* thirsty (L is false). In classical logic a conditional with a false antecedent is automatically true, but it tells us nothing about the consequent. Since the “if‑part” never occurs, we cannot infer that the “then‑part” (water in the fridge) holds.

So, based on Mary’s statement and the given facts, we have no reason to conclude that there is water in the fridge. It may be there, but it is not guaranteed."
B4T,English,"Here's the context: Peter's phone is dead and there is a charger in the drawer. There is also a computer on the table. Mary says: ""If Peter's phone is dead, there is a charger in the drawer"". Based on what Mary says, is it true that there is a charger in the drawer?","Yes.  

Mary’s statement is the conditional  

\[
\text{If Peter’s phone is dead (P), then there is a charger in the drawer (C).}
\]

In the given situation we already know that Peter’s phone **is** dead (P is true).  
For a conditional “if P then C” to be true when P is true, the consequent C must also be true. Therefore, from Mary’s truthful claim and the fact that the phone is dead we can infer that there **is** a charger in the drawer."
